name,industry,country,employess
Turkish Airlines,Transportation and Logistics,Turkey,"5,000"
Kohler,"Engineering, Manufacturing",United States,"40,000"
D'leteren Group,Conglomerate,Belgium,"46,570"
EF Education First,Professional Services,Switzerland,"52,000"
Nippon Telegraph and Telephone,"Telecommunications Services, Cable Supplier",Japan,"338,467"
Olympus,"Semiconductors, Electronics, Electrical Engineering",Japan,"28,838"
General Dynamics,Aerospace & Defense,United States,"100,000"
Fujitsu,"Semiconductors, Electronics, Electrical Engineering",Japan,"124,000"
ANA Holdings,Transportation and Logistics,Japan,"41,225"
Borealis Group,"Construction, Chemicals, Raw Materials",Austria,"6,000"
Booking Holdings,Travel & Leisure,United States,"20,300"
Hyundai Green Food,Retail and Wholesale,South Korea,"8,273"
Medtronic,Health Care Equipment & Services,Ireland,"95,000"
Sasol,"Construction, Chemicals, Raw Materials",South Africa,"29,073"
Skanska,"Construction, Chemicals, Raw Materials",Sweden,"27,000"
Polaris Inc.,Automotive (Automotive and Suppliers),United States,"18,500"
RTX,Aerospace & Defense,United States,"182,000"
Ping An Insurance Group,Insurance,China,"288,751"
Arkema,"Construction, Chemicals, Raw Materials",France,"21,117"
Nippon Paint,"Construction, Chemicals, Raw Materials",Japan,"34,000"
JSW Steel,"Construction, Chemicals, Raw Materials",India,"40,000"
Hisense Visual Technology,"Engineering, Manufacturing",China,"90,000"
AAM - American Axle & Manufacturing,Automotive (Automotive and Suppliers),United States,"19,000"
Veolia Environnement,Utilities,France,"218,000"
Electrolux,"Engineering, Manufacturing",Sweden,"45,000"
Lululemon Athletica,Retail and Wholesale,Canada,"34,000"
Bank of America,Banking and Financial Services,United States,"165,773"
OpenText,IT Software & Services,Canada,"24,000"
Haier Smart Home,"Semiconductors, Electronics, Electrical Engineering",China,"100,000"
KDDI,Utilities,Japan,"49,659"
PT Adaro Energy Indonesia,"Construction, Chemicals, Raw Materials",Indonesia,"15,204"
Standard Chartered,Banking and Financial Services,United Kingdom,"84,958"
SNCF,Transportation and Logistics,France,"276,000"
Mitsui Chemicals,"Construction, Chemicals, Raw Materials",Japan,"19,861"
Geely,Automotive (Automotive and Suppliers),China,"120,000"
Halliburton,"Construction, Chemicals, Raw Materials",United States,"10,513"
Kimberly-Clark,Packaged Goods,United States,"41,000"
Advanced Micro Devices (AMD),"Semiconductors, Electronics, Electrical Engineering",United States,"26,000"
Liebherr Group,"Engineering, Manufacturing",Switzerland,"53,659"
TDK,"Semiconductors, Electronics, Electrical Engineering",Japan,"101,453"
CITIC,Banking and Financial Services,China,"188,862"
FirstRand,Banking and Financial Services,South Africa,"50,178"
Desjardins Group,Banking and Financial Services,Canada,"58,774"
Best Buy,Retail and Wholesale,United States,"105,000"
Murata Manufacturing,"Engineering, Manufacturing",Japan,"73,164"
BP,"Construction, Chemicals, Raw Materials",United Kingdom,"67,600"
Vodafone,"Telecommunications Services, Cable Supplier",United Kingdom,"104,000"
Kakao,IT Software & Services,South Korea,"14,178"
Intersport,Retail and Wholesale,Switzerland,"100,000"
Tokyo Gas,"Construction, Chemicals, Raw Materials",Japan,"15,504"
Mitsui Fudosan,Business Services & Supplies,Japan,"2,049"
Hapag-Lloyd,Transportation and Logistics,Germany,"13,900"
Goodyear,Automotive (Automotive and Suppliers),United States,"71,000"
Telenor,"Telecommunications Services, Cable Supplier",Norway,"11,000"
Hilti,"Semiconductors, Electronics, Electrical Engineering",Liechtenstein,"31,000"
The Estée Lauder Companies,"Construction, Chemicals, Raw Materials",United States,"60,000"
IHH Healthcare,Healthcare & Social Services,Malaysia,"70,000"
NCSOFT,Media & Advertising,South Korea,"5,030"
Naval Group,Aerospace & Defense,France,"16,325"
US Bancorp,Banking and Financial Services,United States,"75,465"
Crocs,"Clothing, Shoes, Sports Equipment",United States,"6,000"
Mondi,"Engineering, Manufacturing",United Kingdom,"22,000"
Eiffage,"Construction, Chemicals, Raw Materials",France,"72,000"
Bajaj,Conglomerate,India,"36,000"
Ajinomoto,"Food, Soft Beverages, Alcohol & Tobacco",Japan,"34,862"
Grundfos,"Engineering, Manufacturing",Denmark,"19,000"
Banco do Brasil,Banking and Financial Services,Brazil,"86,642"
Western Union,Banking and Financial Services,United States,"10,500"
Aflac,Insurance,United States,"10,000"
BAE Systems,Aerospace & Defense,United Kingdom,"35,000"
Hero Motocorp,Automotive (Automotive and Suppliers),India,"9,000"
Banorte,Banking and Financial Services,Mexico,"26,455"
Takashimaya Company,Retail and Wholesale,Japan,"10,768"
KLA,IT Software & Services,United States,"15,000"
Aditya Birla Group,Conglomerate,India,"187,000"
Mattel,Packaged Goods,United States,"31,000"
Dr. Reddy's Laboratories,Drugs & Biotechnology,India,"26,000"
Accenture,Professional Services,Ireland,"738,000"
Schwarz Gruppe,Retail and Wholesale,Germany,"575,000"
Under Armour,"Clothing, Shoes, Sports Equipment",United States,"15,000"
Bonduelle,"Food, Soft Beverages, Alcohol & Tobacco",France,"12,100"
Lite-On Technology,"Semiconductors, Electronics, Electrical Engineering",Taiwan,"29,567"
Yapi Kredi,Banking and Financial Services,Turkey,"10,000"
Shell Plc,"Construction, Chemicals, Raw Materials",Netherlands,"106,000"
Adcorp,Business Services & Supplies,South Africa,"1,900"
SANY Group,"Engineering, Manufacturing",China,"25,930"
Fast Retailing,Retail and Wholesale,Japan,"59,607"
Amorepacific,Packaged Goods,South Korea,"10,000"
Banco Comercial Portugues,Banking and Financial Services,Portugal,"15,745"
Juniper Networks,"Semiconductors, Electronics, Electrical Engineering",United States,"9,000"
Natura & Co.,Retail and Wholesale,Brazil,"35,000"
Evonik Industries,"Construction, Chemicals, Raw Materials",Germany,"33,000"
NTPC,Utilities,India,"18,936"
Bloomberg,IT Software & Services,United States,"21,000"
Energizer Holdings,"Engineering, Manufacturing",United States,"7,500"
Flying Tiger Copenhagen,Retail and Wholesale,Denmark,"7,500"
Citigroup,Banking and Financial Services,United States,"230,000"
Miele Gruppe,"Engineering, Manufacturing",Germany,"23,300"
Alshaya Group,Retail and Wholesale,Kuwait,"10,000"
Dai Nippon Printing,Media & Advertising,Japan,"36,911"
Ottogi,"Food, Soft Beverages, Alcohol & Tobacco",South Korea,"3,122"
Accor,Travel & Leisure,France,"330,000"
Sun Life Financial,Banking and Financial Services,Canada,"50,000"
Bank of Communications,Banking and Financial Services,China,"94,275"
BSH Home Appliances,Retail and Wholesale,Germany,"60,000"
Singapore Airlines,Transportation and Logistics,Singapore,"25,619"
Morimura Group,"Engineering, Manufacturing",Japan,"19,540"
Etisalat,"Telecommunications Services, Cable Supplier",United Arab Emirates,"60,000"
Aviva,Insurance,United Kingdom,"23,701"
Synopsys,IT Software & Services,United States,"19,000"
Cemex,"Construction, Chemicals, Raw Materials",Mexico,"46,000"
Dalian Wanda,Conglomerate,China,"10,000"
Raiffeisen Bank International,Banking and Financial Services,Austria,"44,000"
Valeo,Automotive (Automotive and Suppliers),France,"112,700"
Metropolitan Bank & Trust,Banking and Financial Services,Philippines,"10,000"
ASML Holding,"Semiconductors, Electronics, Electrical Engineering",Netherlands,"42,416"
Bain Capital,Banking and Financial Services,United States,"1,750"
Mediclinic International,Healthcare & Social Services,South Africa,"37,000"
UKG,IT Software & Services,United States,"150,000"
Samvardhana Motherson International,Automotive (Automotive and Suppliers),India,"190,000"
United Parcel Service,Transportation and Logistics,United States,"534,000"
Capital One,Banking and Financial Services,United States,"55,943"
AirBnB,Travel & Leisure,United States,"6,907"
ING Group,Banking and Financial Services,Netherlands,"60,000"
American Airlines Group,Transportation and Logistics,United States,"130,000"
H&M - Hennes & Mauritz,"Clothing, Shoes, Sports Equipment",Sweden,"143,000"
Morgan Stanley,Banking and Financial Services,United States,"80,000"
Amgen,Drugs & Biotechnology,United States,"23,000"
Suncorp,Banking and Financial Services,Australia,"10,000"
Groupe Adeo,Retail and Wholesale,France,"155,000"
Experian Information Solutions,Business Services & Supplies,Ireland,"22,000"
Gartner,Professional Services,United States,"20,000"
Baidu,IT Software & Services,China,"41,300"
Taisei,"Construction, Chemicals, Raw Materials",Japan,"8,720"
RBC,Banking and Financial Services,Canada,"97,000"
Starbucks,Restaurants,United States,"402,000"
MSC Mediterranean Shipping,Transportation and Logistics,Switzerland,"91,967"
Abbott Laboratories,Drugs & Biotechnology,United States,"115,000"
KPMG,Business Services & Supplies,United Kingdom,"62,781"
Accton Technology,"Semiconductors, Electronics, Electrical Engineering",Taiwan,"5,501"
Comcast,Media & Advertising,United States,"186,000"
Mitsubishi UFJ Financial,Banking and Financial Services,Japan,"8,424"
Pirelli,Automotive (Automotive and Suppliers),Italy,"31,300"
Abu Dhabi National Oil Company,"Construction, Chemicals, Raw Materials",United Arab Emirates,"31,460"
Paccar,Automotive (Automotive and Suppliers),United States,"32,400"
Bechtel,"Construction, Chemicals, Raw Materials",United States,"55,000"
Deutsche Lufthansa,Transportation and Logistics,Germany,"96,677"
DuPont De Nemours,"Construction, Chemicals, Raw Materials",United States,"23,000"
Altrad Participations,"Construction, Chemicals, Raw Materials",France,"52,000"
Red Bull,"Food, Soft Beverages, Alcohol & Tobacco",Austria,"17,848"
AstraZeneca,Drugs & Biotechnology,United Kingdom,"83,500"
AVL,Automotive (Automotive and Suppliers),Austria,"11,200"
SingTel,"Telecommunications Services, Cable Supplier",Singapore,"24,000"
LANDBANK,Banking and Financial Services,Philippines,"10,000"
Carl-Zeiss-Stiftung,"Engineering, Manufacturing",Germany,"38,700"
Thai Beverage,Retail and Wholesale,Thailand,"60,000"
Fielmann,Retail and Wholesale,Germany,"22,354"
MAIF,Insurance,France,"8,000"
UBS,Banking and Financial Services,Switzerland,"115,038"
JTEKT,Automotive (Automotive and Suppliers),Japan,"47,200"
ENBW,Utilities,Germany,"26,980"
